company_industry,company_mayor_industry
Automotive,Automotive
Motor Vehicle Manufacturing,Automotive
Vehicle Repair and Maintenance,Automotive
Wholesale Motor Vehicles and Parts,Automotive
Architecture & Planning,Construction
Architecture and Planning,Construction
Building Construction,Construction
Civil Engineering,Construction
Construction,Construction
Engineering Services,Construction
"Glass, Ceramics & Concrete",Construction
Consumer Services,Consumer Services
Ground Passenger Transportation,Consumer Services
Interior Design,Consumer Services
Laundry and Drycleaning Services,Consumer Services
Personal Care Services,Consumer Services
Pet Services,Consumer Services
Security and Investigations,Consumer Services
Shuttles and Special Needs Transportation Services,Consumer Services
Veterinary,Consumer Services
Veterinary Services,Consumer Services
Business Skills Training,Education
E-learning,Education
E-Learning,Education
E-Learning Providers,Education
Education,Education
Education Administration Programs,Education
Education Management,Education
Higher Education,Education
Language Schools,Education
Primary and Secondary Education,Education
Primary/Secondary Education,Education
Professional Training & Coaching,Education
Professional Training and Coaching,Education
Electric Power Generation,Energy
"Electric Power Transmission, Control, and Distribution",Energy
Hydroelectric Power Generation,Energy
Natural Gas Distribution,Energy
Nuclear Electric Power Generation,Energy
Oil & Energy,Energy
Oil and Gas,Energy
"Oil, Gas, and Mining",Energy
Renewable Energy Power Generation,Energy
Services for Renewable Energy,Energy
Solar Electric Power Generation,Energy
Wholesale Petroleum and Petroleum Products,Energy
Computer Games,Entertainment
Entertainment,Entertainment
Entertainment Providers,Entertainment
Events Services,Entertainment
Gambling Facilities and Casinos,Entertainment
Golf Courses and Country Clubs,Entertainment
Mobile Gaming Apps,Entertainment
Motion Pictures and Film,Entertainment
Movies and Sound Recording,Entertainment
"Movies, Videos, and Sound",Entertainment
"Museums, Historical Sites, and Zoos",Entertainment
Music,Entertainment
Musicians,Entertainment
Performing Arts,Entertainment
Recreational Facilities,Entertainment
Sightseeing Transportation,Entertainment
Spectator Sports,Entertainment
Sports,Entertainment
Sports and Recreation Instruction,Entertainment
Sports Teams and Clubs,Entertainment
Conservation Programs,Environmental
Environmental Quality Programs,Environmental
Environmental Services,Environmental
Renewables & Environment,Environmental
Waste Treatment and Disposal,Environmental
Wholesale Recyclable Materials,Environmental
Banking,Finance
Blockchain Services,Finance
Capital Markets,Finance
"Claims Adjusting, Actuarial Services",Finance
Financial Services,Finance
Funds and Trusts,Finance
Individual & Family Services,Finance
Individual and Family Services,Finance
Insurance,Finance
Insurance Agencies and Brokerages,Finance
Insurance Carriers,Finance
Investment Banking,Finance
Investment Management,Finance
Leasing Non-residential Real Estate,Finance
Venture Capital & Private Equity,Finance
Venture Capital and Private Equity Principals,Finance
Government Administration,Government
Government Relations,Government
Government Relations Services,Government
Legislative Offices,Government
Political Organizations,Government
Public Policy,Government
Public Policy Offices,Government
Alternative Medicine,Health
Ambulance Services,Health
Biotechnology,Health
Biotechnology Research,Health
Health and Human Services,Health
"Health, Wellness & Fitness",Health
"Health, Wellness and Fitness",Health
Home Health Care Services,Health
Hospital & Health Care,Health
Hospitals,Health
