title,"title Minusc, y sin acento",cantidad_contactos,ojo,Keyword,Area Mayor,Area Menor,,
.NET Developer,.net developer,5,,developer,Tecnología,Desarrollo de Software,,
.NET Technologies Leader,.net technologies leader,1,,,,,,
"""Sobrecargo""",sobrecargo,1,,sobrecargo,Operaciones,Operaciones Aéreas,,
>Director,>director,1,,,,,,
>Ejecutivo,>ejecutivo,1,,,,,,
≈üirket sahibi,≈üirket sahibi,4,,üirket,Dirección General,Presidencia,,
100% ORGANO GOLD,100% organo gold,1,,organo,Comercial,Networker,,
11th Grade English Teacher,11th grade english teacher,2,,teacher,Académica,Profesores,,
1AD,1ad,1,,,,,,
1st cook,1st cook,1,,cook,Operaciones,Cocina,,
1st Grade Homeroom Teacher,1st grade homeroom teacher,1,,teacher,Académica,Profesores,,
2/o. Comandante,2/o. comandante,1,,,,,,
2020 Corps Member at Teach For America,2020 corps member at teach for america,1,,,,,,
2D animator,2d animator,1,,animator,Marketing,Creativo,,
2DO OFICIAL,2do oficial,1,,,,,,
2ic,2ic,1,,,,,,
2nd Grade Teacher,2nd grade teacher,2,,teacher,Académica,Profesores,,
2nd grade teacher,2nd grade teacher,1,,teacher,Académica,Profesores,,
3 encargado,3 encargado,1,,,,,,
3Commas,3commas,1,,,,,,
3D Animator,3d animator,2,,animator,Marketing,Creativo,,
3D Animator / CGI,3d animator / cgi,1,,animator,Marketing,Creativo,,
3D Artist,3d artist,5,,,,,,
3D Team Leader,3d team leader,1,,,,,,
4th cook,4th cook,1,,cook,Operaciones,Cocina,,
4th Grade English Instructor,4th grade english instructor,1,,instructor,Académica,Profesores,,
4th Grade English Teacher,4th grade english teacher,1,,teacher,Académica,Profesores,,
4th Grade Inclusion Elementary Teacher,4th grade inclusion elementary teacher,2,,teacher,Académica,Profesores,,
4th Grade Teacher,4th grade teacher,2,,teacher,Académica,Profesores,,
5th Grade Elementary School Teacher,5th grade elementary school teacher,1,,teacher,Académica,Profesores,,
6th Grade Room Teacher,6th grade room teacher,1,,teacher,Académica,Profesores,,
6th Grade Team Leader,6th grade team leader,1,,,,,,
737 Captain,737 captain,2,,"captain, 3",Operaciones,Operaciones Aéreas,,
737NG/MAX Captain,737ng/max captain,1,,"captain, 3",Operaciones,Operaciones Aéreas,,
A-319/20/21 CAPTAIN,a-319/20/21 captain,1,,"captain, 3",Operaciones,Operaciones Aéreas,,
A-320 Airline Pilot,a-320 airline pilot,1,,pilot,Operaciones,Operaciones Aéreas,,
A-320 Captain,a-320 captain,1,,"captain, 3",Operaciones,Operaciones Aéreas,,
A. Vice President,a. vice president,1,,,,,,
A. Vicepresident Credit Cards Sr. Specialist,a. vicepresident credit cards sr. specialist,1,,credit,Finanzas,Crédito,,
A.F.N,a.f.n,2,,,,,,
A.T.P,a.t.p,1,,,,,,
A.T.P. Pilot,a.t.p. pilot,1,,pilot,Operaciones,Operaciones Aéreas,,
A.VICE PRESIDENT,a.vice president,1,,,,,,
A&H Actuarial Stat Supt,a&h actuarial stat supt,1,,,,,,
