Job_Title,Nivel_Jerarquico,Area_Mayor,Area_Menor
1AD,Ejecutivo,,
1st Tier logistics coordinator,Gerente,Operaciones,Logística
1st VP Retail Mexico y Latam,Director,,
2 Años en Gerencia Comercial,Gerente,Comercial,Ventas
2/o. Comandante,,,
2013 - Present. GE Distributed Power Sr. Sales Manager & Mexico¬¥s Ombudsman.,Gerente,Comercial,Ventas
2DO OFICIAL,Ejecutivo,,
2do y 1er Oficial cbta,Ejecutivo,,
2nd level controller - LATAM region,Gerente,Finanzas,Contraloría
2o oficial de maquinas,Ejecutivo,,
3 Jefe de cocina,Gerente,,
360¬∫ Marketing Consultant,Gerente,Marketing,
3D Artist,Ejecutivo,,
4PL Compliance Supervisor,Gerente,Jurídico,Compliance
"4PL Solution Development Director, Latin America",Director,,
737 MAX Engineering Manager,Gerente,,
737NG/MAX Captain,,,
a gerencia de ventas,Gerente,,
A-319/20/21 CAPTAIN,Ejecutivo,Operaciones,Capitán
A-320 Airline Pilot,Ejecutivo,,
A-320 Captain,Ejecutivo,Operaciones,Capitán
A. G. Manager Life Science Department,Gerente,,
A. GERENCIA DE CONTABILIDAD,Gerente,,
A. Vice President,Director,,
A. Vicepresident Credit Cards Sr. Specialist,Director,Tecnología,
A.T.P,Ejecutivo,,
A.VICE PRESIDENT,Director,Dirección General,Dirección General
A&H Actuarial Stat Supt,Ejecutivo,,
"A&H, Life and Personal Lines Underwriter Manager for Centroamerica y el Caribe",Gerente,Recursos Humanos,
A&P Controller,Gerente,Finanzas,Contraloría
A&P Controller Other,Gerente,Finanzas,Contraloría
A&RR Finance México - Director Disciplina Normatividad Contable,Director,Finanzas,
A320 Captain,Director,Operaciones,Capitán
A320 Family Captain,Director,Operaciones,Capitán
A320 First Officer,Director,,
A330 Captain,Director,Operaciones,Capitán
Abalista prevención de fraudes(proyecto temporal),Director,Bienes Raices,Proyecto
abogada,Gerente,Jurídico,Abogado
Abogada corporativa,Director,Jurídico,Abogado
Abogada en Contraloría Interna,Gerente,Finanzas,Contraloría
Abogada en ventas,,Jurídico,Abogado
Abogada fiduciaria,Gerente,Jurídico,Abogado
Abogado,Gerente,Jurídico,Abogado
Abogado Consultivo Fiduciario,Gerente,Jurídico,Abogado
Abogado corporativo,Director,Jurídico,Abogado
Abogado Corporativo.,Director,Jurídico,Abogado
Abogado de contratos,Gerente,Jurídico,Contratos
Abogado de empresa,Director,Jurídico,Abogado
Abogado de gestión,Gerente,Jurídico,Abogado
Abogado Dirección General de CCH,Director,Jurídico,Abogado
Abogado en Jefe,Gerente,Jurídico,Abogado
Abogado Fiduciario,Gerente,Jurídico,Abogado
Abogado Fiduciario Analista,Colaborador,Jurídico,Abogado
Abogado financiero,Director General,Finanzas,
Abogado General,Director General,Jurídico,Abogado
Abogado gerente,Gerente,Jurídico,Abogado
Abogado Penalista,Gerente,Jurídico,Abogado
Abogado Relaciones Laborales y Sindicales,Gerente,Jurídico,Abogado
Abogado sénior,,Jurídico,Abogado
Abogado Sr,,Jurídico,Abogado
Abogado Sr. en Propiedad Intelectual,Gerente,Jurídico,Abogado
Abogado Supervising Senior,Gerente,Jurídico,Abogado
Abogado Supervisor,Gerente,Jurídico,Abogado
ABOGADO SUPERVISOR (RECUPERACIÓN DE ACTIVOS),Gerente,Jurídico,Abogado
Abogado y Auditor en la Coordinación de Control Interno,Gerente,Jurídico,Abogado
Abteilungsleiter Kommunikation Und √Ñffentlichkeitsarbeit,,,
Academia MX Gerente de formación,Gerente,Académica,Docencia
Academic,Ejecutivo,Académica,Docencia
Academic coordinator and lecturer in post-grade and diploma courses,Gerente,Académica,Docencia
Academic Dean,Director,Académica,Docencia
Academic Director,Director,Académica,Docencia
Academic Director of Psychology,Director,Académica,Docencia
Academic Director of the Heath Care Quality Residency,Director,Académica,Docencia
Academic director.,Director,Académica,Docencia
Academic Logistics Supervisor,Gerente,Operaciones,Logística
Academic Principal,Director,Académica,Dirección General
Academic Professor & Mentor,Ejecutivo,Académica,Docencia
Academic Projects Director,Director,Académica,Docencia
"Academic Projects Director, School of Architecture, Art and Design, Mexico City Region",Director,Académica,Docencia
Academic Supervisor,Gerente,Académica,Docencia
academica,Ejecutivo,Académica,Docencia
Académica,Ejecutivo,Académica,Docencia
Académica - docente- investigadora,Gerente,Académica,Investigación
Académica de asignatura,Ejecutivo,Académica,Docencia
Académica Nivel Superior,Ejecutivo,Académica,Docencia
academico,Ejecutivo,Académica,Docencia
Académico,Ejecutivo,Académica,Docencia
Académico de la Dirección General de Orientación y Atención Educativa de la UNAM,Ejecutivo,Operaciones,Servicio a Clientes
Académico de la Facultad de Ciencias,Ejecutivo,Académica,Docencia
Académico de posgrado,Ejecutivo,Académica,Docencia
Académico Profesora Definitiva Facultad de Arquitectura,Ejecutivo,Académica,Docencia
Académico Sistema Ejecutivos,Ejecutivo,Académica,Docencia
Académico. Jefe de Proyectos de Sistemas,Gerente,Tecnología,
Academy CIO,Ejecutivo,Académica,Docencia
Accesories Director,Director,Comercial,Ventas
Access & Business Support MAC Director,Director,Comercial,
Access & Government Affairs Director,Director,,
Access and Government Affairs Neurology & Operations Mid Markets Director,Director,Operaciones,
Access Partner Lead Private Market,Director,Marketing,
Accionista,Director,,
Accompagnatrice Holistique,,,
Account and Delivery Manager in Capgemini,Gerente,Comercial,Cuentas
Account Customer Manager Gobierno,Gerente,Comercial,Cuentas
