Palabra Clave,Clasificacion Palabra Clave,Area,Departamento,Prioridad Area,Prioridad Depatamento
"asesor, financiero",dos palabras,Comercial,Ventas,1,2
"asesor, patrimonial",dos palabras,Comercial,Ventas,1,2
cco,completa acronimo,Comercial,Ventas,1,2
comercia,abrev,Comercial,Ventas,1,2
comercial,completa,Comercial,Ventas,1,2
commercial,completa,Comercial,Ventas,1,2
"ejecutiv, financiero",dos palabras,Comercial,Ventas,1,2
"ejecutiv, vent",dos palabras,Comercial,Ventas,1,2
promotor,completa,Comercial,Ventas,1,2
promotora,completa,Comercial,Ventas,1,2
sales,completa,Comercial,Ventas,1,2
vendedor,completa,Comercial,Ventas,1,2
vendedora,completa,Comercial,Ventas,1,2
venta,completa,Comercial,Ventas,1,2
ventas,completa,Comercial,Ventas,1,2
"account, executive",dos palabras,Comercial,Cuentas,1,3
"account, management",dos palabras,Comercial,Cuentas,1,3
"account, manager",dos palabras,Comercial,Cuentas,1,3
cuenta,completa,Comercial,Cuentas,1,3
"ejecutiv, cuent",dos palabras,Comercial,Cuentas,1,3
"business, dev",dos palabras,Comercial,Desarrollo de Negocio,1,4
"business, strat",dos palabras,Comercial,Desarrollo de Negocio,1,4
"desarrollo, comer",dos palabras,Comercial,Desarrollo de Negocio,1,4
"desarrollo, negocio",dos palabras,Comercial,Desarrollo de Negocio,1,4
"estrategia, negocio",dos palabras,Comercial,Desarrollo de Negocio,1,4
amazon,completa,Comercial,Ecommerce,1,5
CATWEB,abrev,Comercial,Ecommerce,1,5
"comercio, electr",dos palabras,Comercial,Ecommerce,1,5
e-commerce,completa,Comercial,Ecommerce,1,5
ecommerce,completa,Comercial,Ecommerce,1,5
marketplace,completa,Comercial,Ecommerce,1,5
"Mercado, Libre",dos palabras,Comercial,Ecommerce,1,5
comercializacion,completa,Comercial,Comercailización,1,6
distribu,abrev,Comercial,Comercailización,1,6
distribuidor,completa,Comercial,Comercailización,1,6
distribuidora,completa,Comercial,Comercailización,1,6
distributor,completa,Comercial,Comercailización,1,6
merchandising,completa,Comercial,Comercailización,1,6
comercializador,completa,Comercial,Comercailización,1,6
branch,completa,Comercial,Retail,1,7
expansi,abrev,Comercial,Retail,1,7
"piso, venta",dos palabras,Comercial,Retail,1,7
"punto, venta",dos palabras,Comercial,Retail,1,7
Retail,completa,Comercial,Retail,1,7
sucursal,completa,Comercial,Retail,1,7
tienda,completa,Comercial,Retail,1,7
"cuenta, clave",dos palabras,Comercial,KAM,1,8
kam,completa,Comercial,KAM,1,8
"key, acco",dos palabras,Comercial,KAM,1,8
"key, manag",dos palabras,Comercial,KAM,1,8
"cat, man",dos palabras,Comercial,Trade Marketing,1,9
catego,abrev,Comercial,Trade Marketing,1,9
marchand,abrev,Comercial,Trade Marketing,1,9
trade,completa,Comercial,Trade Marketing,1,9
"trade, marketing",dos palabras,Comercial,Trade Marketing,1,9
"visual, merchandising",dos palabras,Comercial,Trade Marketing,1,9
expansion,completa,Comercial,Expansión,1,10
franch,abrev,Comercial,Expansión,1,10
franquicia,completa,Comercial,Expansión,1,10
"nuev, aper",dos palabras,Comercial,Expansión,1,10
pricing,completa,Comercial,Revenue Management,1,11
revenue,completa,Comercial,Revenue Management,1,11
crm,completa,Comercial,CRM,1,12
hubspot,completa,Comercial,CRM,1,12
salesforce,completa,Comercial,CRM,1,12
preventa,completa,Comercial,Preventa,1,13
"sales, pre",dos palabras,Comercial,Preventa,1,13
amway,completa,Comercial,Networker,1,14
avon,completa,Comercial,Networker,1,14
"distribui, independ",dos palabras,Comercial,Networker,1,14
"emprende, indepen",dos palabras,Comercial,Networker,1,14
"empresari, bronce",dos palabras,Comercial,Networker,1,14
"empresari, gano",dos palabras,Comercial,Networker,1,14
"empresari, independien",dos palabras,Comercial,Networker,1,14
"empresari, junior",dos palabras,Comercial,Networker,1,14
"empresari, lider",dos palabras,Comercial,Networker,1,14
"empresari, oro",dos palabras,Comercial,Networker,1,14
"empresari, platin",dos palabras,Comercial,Networker,1,14
"empresari, siglo",dos palabras,Comercial,Networker,1,14
"entrepeneur, independ",dos palabras,Comercial,Networker,1,14
"entrepeneur, lifestyle",dos palabras,Comercial,Networker,1,14
herbalife,completa,Comercial,Networker,1,14
multinivel,completa,Comercial,Networker,1,14
networ,abrev,Comercial,Networker,1,14
network,completa,Comercial,Networker,1,14
"network, market",dos palabras,Comercial,Networker,1,14
networker,completa,Comercial,Networker,1,14
omnilife,completa,Comercial,Networker,1,14
organo,completa,Comercial,Networker,1,14
oriflame,completa,Comercial,Networker,1,14
"owner, indepen",dos palabras,Comercial,Networker,1,14
travel,completa,Comercial,Agente de Viajes,1,15
"agente, seguro",dos palabras,Comercial,Agente de Seguros,1,16
"asesor, seguro",dos palabras,Comercial,Agente de Seguros,1,16
"promotor, seguro",dos palabras,Comercial,Agente de Seguros,1,16
"asesor, inmob",dos palabras,Comercial,Agente Inmobiliario,1,17
inmobilia,abrev,Comercial,Agente Inmobiliario,1,17
mayoreo,completa,Comercial,Ventas Mayoreo,1,18
wholesale,completa,Comercial,Ventas Mayoreo,1,18
district,completa,Comercial,Ventas regionales,1,19
distrit,abrev,Comercial,Ventas regionales,1,19
distrito,completa,Comercial,Ventas regionales,1,19
region,completa,Comercial,Ventas regionales,1,19
regional,completa,Comercial,Ventas regionales,1,19
"sales, reg",dos palabras,Comercial,Ventas regionales,1,19
"Vent, reg",dos palabras,Comercial,Ventas regionales,1,19
zona,completa,Comercial,Ventas regionales,1,19
zone,completa,Comercial,Ventas regionales,1,19
"marketing, tele",dos palabras,Comercial,Ventas Telefónicas,1,20
"tele, venta",dos palabras,Comercial,Ventas Telefónicas,1,20
brand,completa,Marketing,Branding,2,1
Branding,completa,Marketing,Branding,2,1
marca,completa,Marketing,Branding,2,1
growth,completa,Marketing,Growth Marketing,2,2
"marketing, digital",dos palabras,Marketing,Digital Marketing,2,3
"digital, advertising",dos palabras,Marketing,SEO / SEM / Medios Digitales,2,4
"digital, marketing",dos palabras,Marketing,SEO / SEM / Medios Digitales,2,4
"digital, media",dos palabras,Marketing,SEO / SEM / Medios Digitales,2,4
"Facebook, Ads",dos palabras,Marketing,SEO / SEM / Medios Digitales,2,4
Google,completa,Marketing,SEO / SEM / Medios Digitales,2,4
"marketing, performance",dos palabras,Marketing,SEO / SEM / Medios Digitales,2,4
"Medios, Digitales",dos palabras,Marketing,SEO / SEM / Medios Digitales,2,4
Meta,completa,Marketing,SEO / SEM / Medios Digitales,2,4
"paid, media",dos palabras,Marketing,SEO / SEM / Medios Digitales,2,4
performance,completa,Marketing,SEO / SEM / Medios Digitales,2,4
"search, engine",dos palabras,Marketing,SEO / SEM / Medios Digitales,2,4
seo,completa acronimo,Marketing,SEO / SEM / Medios Digitales,2,4
"web, mark",dos palabras,Marketing,SEO / SEM / Medios Digitales,2,4
"web, posicion",dos palabras,Marketing,SEO / SEM / Medios Digitales,2,4
"web, search",dos palabras,Marketing,SEO / SEM / Medios Digitales,2,4
"community, Manager",dos palabras,Marketing,Redes Sociales,2,5
Facebook,completa,Marketing,Redes Sociales,2,5
Instagram,completa,Marketing,Redes Sociales,2,5
LinkedIn,completa,Marketing,Redes Sociales,2,5
"redes, sociales",dos palabras,Marketing,Redes Sociales,2,5
animator,completa,Marketing,Creativo,2,6
creativa,completa,Marketing,Creativo,2,6
creative,completa,Marketing,Creativo,2,6
creativo,completa,Marketing,Creativo,2,6
"diseñ, grafi",dos palabras,Marketing,Creativo,2,6
Gamer,completa,Marketing,Creativo,2,6
"graphic, design",dos palabras,Marketing,Creativo,2,6
videogame,completa,Marketing,Creativo,2,6
animación,completa,Marketing,Contenidos,2,7
blog,abrev,Marketing,Contenidos,2,7
